@180.171.147.187/32 83.167.110.154/32 0:65535 6849:6849 0x06/0xFF
@85.52.82.0/23 199.45.140.2/32 0:65535 1521:1521 0x06/0xFF
@85.52.82.0/23 25.184.48.129/32 0:65535 2026:2026 0x06/0xFF
@85.52.82.0/23 199.34.149.161/32 0:65535 1521:1521 0x06/0xFF
@85.52.82.0/23 85.52.87.1/32 0:65535 1521:1521 0x11/0xFF
@85.52.82.0/23 199.34.149.161/32 0:65535 5540:5540 0x06/0xFF
@85.52.82.0/23 199.39.63.180/32 0:65535 14753:14753 0x06/0xFF
@85.52.82.0/23 199.39.63.180/32 0:65535 2110:2110 0x06/0xFF
@85.52.82.0/23 199.39.63.180/32 0:65535 1717:1717 0x06/0xFF
@85.52.82.0/23 199.39.63.181/32 0:65535 5555:5555 0x06/0xFF
@180.171.147.188/32 199.39.56.0/22 0:65535 1526:1526 0x06/0xFF
@85.52.83.88/32 25.184.52.0/22 0:65535 65500:65500 0x06/0xFF
@85.52.83.81/32 188.235.252.0/22 0:65535 7205:7205 0x06/0xFF
@85.52.83.77/32 90.129.156.0/22 0:65535 1712:1712 0x06/0xFF
@85.52.83.77/32 81.117.48.0/22 0:65535 1526:1526 0x06/0xFF
@85.52.83.68/32 199.45.144.0/22 0:65535 1708:1708 0x06/0xFF
@85.52.83.115/32 199.45.136.0/22 0:65535 1717:1717 0x06/0xFF
@85.52.83.96/32 199.34.144.0/22 0:65535 1521:1521 0x06/0xFF
@85.52.83.96/32 199.39.56.0/22 0:65535 30211:30211 0x06/0xFF
@180.171.147.254/32 25.181.196.0/22 0:65535 1221:1221 0x11/0xFF
@180.171.147.209/32 25.177.184.0/22 0:65535 1711:1711 0x06/0xFF
@180.171.147.209/32 25.178.120.0/22 0:65535 1733:1733 0x11/0xFF
@180.171.147.35/32 25.178.120.0/22 0:65535 1221:1221 0x06/0xFF
@180.171.147.63/32 25.178.128.0/22 0:65535 1526:1526 0x06/0xFF
@180.171.147.56/32 25.178.128.0/22 0:65535 1526:1526 0x06/0xFF
@180.171.147.89/32 180.171.104.0/22 0:65535 1711:1711 0x06/0xFF
@180.171.147.65/32 25.184.52.0/22 0:65535 1526:1526 0x06/0xFF
@180.171.147.65/32 25.184.52.0/22 0:65535 135:135 0x06/0xFF
@180.171.147.65/32 199.39.56.0/22 0:65535 1526:1526 0x06/0xFF
@180.171.147.65/32 25.184.52.0/22 0:65535 1433:1433 0x06/0xFF
@85.52.83.80/32 188.227.108.0/22 0:65535 1525:1525 0x06/0xFF
@85.52.83.80/32 85.52.84.0/22 0:65535 1221:1221 0x06/0xFF
@85.52.83.77/32 81.117.100.0/22 0:65535 21:21 0x06/0xFF
@85.52.83.77/32 180.175.0.0/22 0:65535 6000:6000 0x06/0xFF
@85.52.83.69/32 199.45.136.0/22 0:65535 1711:1711 0x06/0xFF
@85.52.83.115/32 199.45.136.0/22 0:65535 1521:1521 0x06/0xFF
@85.52.83.125/32 199.34.144.0/22 0:65535 14753:14753 0x06/0xFF
@85.52.83.125/32 25.184.52.0/22 0:65535 1490:1490 0x06/0xFF
@85.52.83.125/32 199.34.144.0/22 0:65535 5632:5632 0x06/0xFF
@85.52.83.96/32 199.34.144.0/22 0:65535 30211:30211 0x06/0xFF
@85.52.83.96/32 199.34.144.0/22 0:65535 5631:5631 0x06/0xFF
@85.52.83.97/32 199.39.56.0/22 0:65535 6000:6000 0x06/0xFF
@85.52.83.97/32 85.52.84.0/22 0:65535 1221:1221 0x06/0xFF
@85.52.83.97/32 199.39.56.0/22 0:65535 1521:1521 0x06/0xFF
@85.52.83.97/32 85.52.84.0/22 0:65535 1706:1706 0x06/0xFF
@85.52.83.97/32 25.184.52.0/22 0:65535 5540:5540 0x06/0xFF
@85.52.83.97/32 199.39.56.0/22 0:65535 15121:15121 0x06/0xFF
@85.52.83.97/32 25.184.52.0/22 0:65535 1221:1221 0x06/0xFF
@85.52.83.97/32 199.39.56.0/22 0:65535 1705:1705 0x06/0xFF
@85.52.83.97/32 199.39.56.0/22 0:65535 2121:2121 0x06/0xFF
@85.52.83.97/32 85.52.84.0/22 0:65535 1521:1521 0x06/0xFF
@180.171.147.224/31 86.109.172.0/22 0:65535 1433:1433 0x06/0xFF
@180.171.147.46/31 25.178.128.0/22 0:65535 1521:1521 0x06/0xFF
@180.171.147.60/31 199.39.56.0/22 0:65535 1433:1433 0x06/0xFF
@180.171.147.82/31 25.184.52.0/22 0:65535 1526:1526 0x06/0xFF
@85.52.83.82/31 25.184.52.0/22 0:65535 5555:5555 0x06/0xFF
@85.52.83.70/31 25.184.52.0/22 0:65535 1707:1707 0x06/0xFF
@85.52.83.126/31 25.184.52.0/22 0:65535 1526:1526 0x06/0xFF
@85.52.83.126/31 199.34.144.0/22 0:65535 2051:2051 0x06/0xFF
@85.52.83.98/31 199.39.56.0/22 0:65535 21:21 0x06/0xFF
@180.171.147.228/30 180.171.104.0/22 0:65535 1521:1521 0x06/0xFF
@180.171.147.248/30 25.181.196.0/22 0:65535 1221:1221 0x06/0xFF
@180.171.147.196/30 180.171.104.0/22 0:65535 1521:1521 0x06/0xFF
@180.171.147.68/30 25.184.52.0/22 0:65535 5541:5541 0x06/0xFF
@180.171.147.68/30 25.184.52.0/22 0:65535 1712:1712 0x06/0xFF
@85.52.83.64/30 199.45.136.0/22 0:65535 1526:1526 0x06/0xFF
@85.52.83.64/30 85.52.84.0/22 0:65535 135:135 0x06/0xFF
@85.52.83.100/30 73.31.28.0/22 0:65535 1712:1712 0x06/0xFF
@85.52.83.100/30 199.39.56.0/22 0:65535 1521:1521 0x06/0xFF
@180.171.146.0/23 199.39.63.181/32 0:65535 61700:61709 0x06/0xFF
@85.52.82.0/23 199.39.63.180/32 0:65535 20000:20010 0x06/0xFF
@180.171.147.164/30 86.119.32.0/22 0:65535 55444:55444 0x06/0xFF
@180.171.147.248/30 25.181.196.0/22 0:65535 1489:1489 0x06/0xFF
@180.171.147.204/30 25.181.196.0/22 0:65535 1521:1521 0x06/0xFF
@180.171.147.40/30 25.178.128.0/22 0:65535 1708:1708 0x06/0xFF
@180.171.147.40/30 25.178.128.0/22 0:65535 6790:6790 0x06/0xFF
@180.171.147.48/30 180.171.104.0/22 0:65535 1704:1704 0x06/0xFF
@180.171.147.92/30 25.184.52.0/22 0:65535 5540:5540 0x06/0xFF
@180.171.147.92/30 25.184.52.0/22 0:65535 6790:6790 0x06/0xFF
@180.171.147.68/30 25.184.52.0/22 0:65535 19856:19856 0x06/0xFF
@180.171.147.68/30 199.39.56.0/22 0:65535 1526:1526 0x06/0xFF
@85.52.83.92/30 85.52.84.0/22 0:65535 1715:1715 0x06/0xFF
@85.52.83.92/30 144.99.192.0/22 0:65535 5555:5555 0x11/0xFF
@85.52.83.84/30 183.36.184.0/22 0:65535 31000:31000 0x06/0xFF
@85.52.83.72/30 180.175.0.0/22 0:65535 3031:3031 0x06/0xFF
@85.52.83.64/30 180.171.104.0/22 0:65535 27000:27000 0x06/0xFF
@85.52.83.64/30 199.45.144.0/22 0:65535 5541:5541 0x06/0xFF
@85.52.83.116/30 199.45.136.0/22 0:65535 5632:5632 0x06/0xFF
@85.52.83.120/30 199.34.144.0/22 0:65535 1521:1521 0x06/0xFF
@85.52.83.120/30 85.52.84.0/22 0:65535 1600:1600 0x06/0xFF
@85.52.83.100/30 25.184.52.0/22 0:65535 5543:5543 0x06/0xFF
@85.52.83.100/30 199.39.56.0/22 0:65535 1221:1221 0x06/0xFF
@85.52.83.100/30 199.39.56.0/22 0:65535 1712:1712 0x06/0xFF
@85.52.83.100/30 199.39.56.0/22 0:65535 1707:1707 0x11/0xFF
@85.52.83.100/30 85.52.84.0/22 0:65535 1521:1521 0x06/0xFF
@85.52.83.100/30 199.39.56.0/22 0:65535 2026:2026 0x06/0xFF
@180.171.146.0/23 25.178.135.86/32 0:65535 62400:62409 0x06/0xFF
@180.171.146.0/23 180.171.109.214/32 0:65535 62600:62609 0x06/0xFF
@85.52.82.0/23 25.184.48.129/32 0:65535 62600:62609 0x06/0xFF
@85.52.82.0/23 199.45.140.2/32 0:65535 62400:62409 0x06/0xFF
@180.171.146.0/23 25.184.48.144/28 0:65535 30899:30899 0x06/0xFF
@180.171.146.0/23 25.184.48.144/28 0:65535 1705:1705 0x06/0xFF
@85.52.82.0/23 182.190.16.32/28 0:65535 65500:65500 0x06/0xFF
@85.52.82.0/23 199.34.149.176/28 0:65535 5555:5555 0x06/0xFF
@85.52.82.0/23 25.184.48.144/28 0:65535 1526:1526 0x06/0xFF
@85.52.82.0/23 199.34.149.176/28 0:65535 1521:1521 0x06/0xFF
@85.52.82.0/23 182.190.17.153/32 0:65535 61100:61119 0x06/0xFF
@85.52.82.0/23 199.39.63.180/32 0:65535 32200:32207 0x06/0xFF
@180.171.146.0/23 199.39.63.160/28 0:65535 14753:14753 0x06/0xFF
@180.171.146.0/23 85.196.121.0/28 0:65535 1521:1521 0x06/0xFF
@180.171.146.0/23 171.117.62.80/28 0:65535 30899:30899 0x06/0xFF
@180.171.146.0/23 25.177.188.64/28 0:65535 1525:1525 0x06/0xFF
@180.171.146.0/23 25.178.135.64/28 0:65535 5631:5631 0x06/0xFF
@180.171.146.0/23 199.39.63.160/28 0:65535 2308:2308 0x06/0xFF
@180.171.146.0/23 25.178.135.64/28 0:65535 5632:5632 0x06/0xFF
@180.171.146.0/23 25.184.48.240/28 0:65535 27000:27000 0x06/0xFF
@180.171.146.0/23 25.184.48.240/28 0:65535 1711:1711 0x06/0xFF
@180.171.146.0/23 25.184.48.240/28 0:65535 1734:1734 0x06/0xFF
@180.171.146.0/23 25.184.48.240/28 0:65535 1526:1526 0x06/0xFF
@180.171.146.0/23 25.184.48.144/28 0:65535 20:20 0x06/0xFF
@180.171.146.0/23 25.184.48.144/28 0:65535 5555:5555 0x06/0xFF
@180.171.146.0/23 25.184.48.144/28 0:65535 1526:1526 0x11/0xFF
@180.171.146.0/23 25.184.48.144/28 0:65535 1221:1221 0x06/0xFF
@180.171.146.0/23 25.184.48.144/28 0:65535 21:21 0x06/0xFF
@85.52.82.0/23 64.48.151.48/28 0:65535 1704:1704 0x06/0xFF
@85.52.82.0/23 188.239.194.16/28 0:65535 1521:1521 0x06/0xFF
@85.52.82.0/23 188.227.107.176/28 0:65535 1221:1221 0x06/0xFF
@85.52.82.0/23 25.184.48.144/28 0:65535 5631:5631 0x06/0xFF
@85.52.82.0/23 177.119.185.32/28 0:65535 1221:1221 0x06/0xFF
@85.52.82.0/23 199.45.140.16/28 0:65535 20:20 0x11/0xFF
@85.52.82.0/23 199.34.149.176/28 0:65535 1706:1706 0x06/0xFF
@85.52.82.0/23 199.34.149.176/28 0:65535 1433:1433 0x06/0xFF
@85.52.82.0/23 199.34.149.176/28 0:65535 6000:6000 0x11/0xFF
@85.52.82.0/23 199.39.63.160/28 0:65535 1733:1733 0x06/0xFF
@85.52.82.0/23 25.184.48.144/28 0:65535 1707:1707 0x06/0xFF
@85.52.82.0/23 81.116.207.48/28 0:65535 1717:1717 0x06/0xFF
@85.52.82.0/23 154.56.106.205/32 0:65535 62200:62219 0x11/0xFF
@180.171.146.0/23 86.119.39.24/32 0:65535 1300:1350 0x11/0xFF
@180.171.146.0/23 25.184.48.129/32 0:65535 1700:1750 0x06/0xFF
@85.52.82.0/23 199.45.148.2/32 0:65535 1300:1350 0x06/0xFF
@180.171.146.0/23 199.39.63.181/32 0:65535 1300:1349 0x06/0xFF
@85.52.82.0/23 131.201.253.163/32 0:65535 62200:62239 0x06/0xFF
@180.171.147.188/32 81.118.126.21/32 0:65535 0:65535 0x06/0xFF
@180.171.147.188/32 86.119.212.173/32 0:65535 0:65535 0x06/0xFF
@180.171.147.227/32 199.39.63.181/32 0:65535 0:65535 0x06/0xFF
@180.171.147.242/32 171.112.117.242/32 0:65535 0:65535 0x06/0xFF
@180.171.147.209/32 25.177.188.88/32 0:65535 0:65535 0x06/0xFF
@180.171.147.44/32 25.178.135.87/32 0:65535 0:65535 0x06/0xFF
@180.171.147.52/32 25.178.135.87/32 0:65535 0:65535 0x06/0xFF
@180.171.147.56/32 25.178.135.86/32 0:65535 0:65535 0x06/0xFF
@180.171.147.80/32 25.184.48.234/32 0:65535 0:65535 0x06/0xFF
@180.171.147.89/32 25.184.48.234/32 0:65535 0:65535 0x06/0xFF
@180.171.147.89/32 25.184.48.239/32 0:65535 0:65535 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 0:65535 0x06/0xFF
@85.52.83.88/32 154.50.167.187/32 0:65535 0:65535 0x06/0xFF
@85.52.83.88/32 151.97.59.247/32 0:65535 0:65535 0x06/0xFF
@85.52.83.81/32 188.227.36.85/32 0:65535 0:65535 0x06/0xFF
@85.52.83.77/32 182.190.17.153/32 0:65535 0:65535 0x06/0xFF
@85.52.83.69/32 199.45.140.2/32 0:65535 0:65535 0x06/0xFF
@85.52.83.115/32 199.45.140.2/32 0:65535 0:65535 0x06/0xFF
@85.52.83.96/32 199.34.149.161/32 0:65535 0:65535 0x06/0xFF
@85.52.83.96/32 199.39.63.180/32 0:65535 0:65535 0x06/0xFF
@85.52.83.96/32 73.31.26.25/32 0:65535 0:65535 0x06/0xFF
@85.52.83.97/32 199.39.63.180/32 0:65535 0:65535 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 0:65535 0x06/0xFF
@180.171.147.44/32 25.178.135.87/32 0:65535 5001:65535 0x06/0xFF
@85.52.83.115/32 199.45.140.2/32 0:65535 1025:65535 0x06/0xFF
@85.52.83.96/32 199.39.63.180/32 0:65535 1025:65535 0x06/0xFF
@85.52.83.97/32 199.39.63.180/32 0:65535 1025:65535 0x06/0xFF
@85.52.83.97/32 199.39.63.181/32 0:65535 1025:65535 0x11/0xFF
@180.171.147.128/32 90.19.197.215/32 0:65535 0:65535 0x06/0xFF
@180.171.147.141/32 90.137.80.240/32 0:65535 0:65535 0x06/0xFF
@180.171.147.143/32 90.137.71.248/32 0:65535 0:65535 0x06/0xFF
@180.171.147.161/32 86.109.168.32/32 0:65535 0:65535 0x06/0xFF
@180.171.147.227/32 86.109.168.33/32 0:65535 0:65535 0x06/0xFF
@180.171.147.241/32 85.201.164.17/32 0:65535 0:65535 0x06/0xFF
@180.171.147.254/32 199.39.63.181/32 0:65535 0:65535 0x06/0xFF
@180.171.147.254/32 25.181.193.224/32 0:65535 0:65535 0x06/0xFF
@180.171.147.195/32 25.181.193.224/32 0:65535 0:65535 0x06/0xFF
@180.171.147.195/32 199.39.63.181/32 0:65535 0:65535 0x06/0xFF
@180.171.147.202/32 25.181.193.224/32 0:65535 0:65535 0x01/0xFF
@180.171.147.202/32 188.227.107.196/32 0:65535 0:65535 0x06/0xFF
@180.171.147.220/32 25.181.193.224/32 0:65535 0:65535 0x06/0xFF
@180.171.147.222/32 25.181.193.224/32 0:65535 0:65535 0x06/0xFF
@180.171.147.217/32 25.181.193.224/32 0:65535 0:65535 0x06/0xFF
@180.171.147.209/32 25.178.125.173/32 0:65535 0:65535 0x06/0xFF
@180.171.147.39/32 25.178.135.87/32 0:65535 0:65535 0x06/0xFF
@180.171.147.44/32 180.171.109.214/32 0:65535 0:65535 0x06/0xFF
@180.171.147.52/32 199.39.63.181/32 0:65535 0:65535 0x06/0xFF
@180.171.147.52/32 25.178.135.86/32 0:65535 0:65535 0x06/0xFF
@180.171.147.63/32 199.39.63.181/32 0:65535 0:65535 0x06/0xFF
@180.171.147.63/32 25.178.135.86/32 0:65535 0:65535 0x01/0xFF
@180.171.147.86/32 199.39.63.181/32 0:65535 0:65535 0x06/0xFF
@180.171.147.84/32 25.178.135.86/32 0:65535 0:65535 0x06/0xFF
@180.171.147.89/32 25.184.48.234/32 0:65535 0:65535 0x01/0xFF
@180.171.147.89/32 180.171.109.214/32 0:65535 0:65535 0x06/0xFF
@180.171.147.65/32 25.184.48.239/32 0:65535 0:65535 0x01/0xFF
@180.171.147.65/32 199.39.63.181/32 0:65535 0:65535 0x06/0xFF
@180.171.147.65/32 25.184.48.129/32 0:65535 0:65535 0x01/0xFF
@180.171.147.65/32 199.39.63.181/32 0:65535 0:65535 0x01/0xFF
@85.52.83.88/32 129.177.116.49/32 0:65535 0:65535 0x06/0xFF
@85.52.83.88/32 90.129.153.215/32 0:65535 0:65535 0x06/0xFF
@85.52.83.88/32 155.55.101.192/32 0:65535 0:65535 0x06/0xFF
@85.52.83.88/32 146.242.31.19/32 0:65535 0:65535 0x01/0xFF
@85.52.83.88/32 151.68.216.59/32 0:65535 0:65535 0x06/0xFF
@85.52.83.88/32 151.97.234.103/32 0:65535 0:65535 0x01/0xFF
@85.52.83.88/32 151.98.65.138/32 0:65535 0:65535 0x06/0xFF
@85.52.83.81/32 25.184.48.129/32 0:65535 0:65535 0x06/0xFF
@85.52.83.80/32 177.112.33.235/32 0:65535 0:65535 0x06/0xFF
@85.52.83.77/32 85.52.87.1/32 0:65535 0:65535 0x06/0xFF
@85.52.83.77/32 182.190.16.55/32 0:65535 0:65535 0x06/0xFF
@85.52.83.77/32 180.175.110.250/32 0:65535 0:65535 0x01/0xFF
@85.52.83.77/32 180.175.6.28/32 0:65535 0:65535 0x06/0xFF
@85.52.83.77/32 180.175.6.52/32 0:65535 0:65535 0x06/0xFF
@85.52.83.77/32 180.171.109.205/32 0:65535 0:65535 0x01/0xFF
@85.52.83.77/32 73.31.16.198/32 0:65535 0:65535 0x01/0xFF
@85.52.83.77/32 180.171.109.205/32 0:65535 0:65535 0x06/0xFF
@85.52.83.77/32 180.171.109.197/32 0:65535 0:65535 0x01/0xFF
@85.52.83.77/32 180.171.109.197/32 0:65535 0:65535 0x06/0xFF
@85.52.83.68/32 25.184.48.129/32 0:65535 0:65535 0x01/0xFF
@85.52.83.68/32 199.45.148.2/32 0:65535 0:65535 0x06/0xFF
@85.52.83.68/32 73.31.21.201/32 0:65535 0:65535 0x01/0xFF
@85.52.83.69/32 199.45.148.2/32 0:65535 0:65535 0x06/0xFF
@85.52.83.69/32 85.52.87.1/32 0:65535 0:65535 0x06/0xFF
@85.52.83.69/32 85.52.87.1/32 0:65535 0:65535 0x01/0xFF
@85.52.83.69/32 81.116.207.139/32 0:65535 0:65535 0x06/0xFF
@85.52.83.115/32 199.45.140.2/32 0:65535 0:65535 0x01/0xFF
@85.52.83.115/32 73.31.26.25/32 0:65535 0:65535 0x06/0xFF
@85.52.83.115/32 25.184.48.129/32 0:65535 0:65535 0x06/0xFF
@85.52.83.125/32 199.45.140.2/32 0:65535 0:65535 0x06/0xFF
@85.52.83.125/32 25.184.48.129/32 0:65535 0:65535 0x06/0xFF
@85.52.83.125/32 199.34.149.161/32 0:65535 0:65535 0x06/0xFF
@85.52.83.125/32 25.184.48.129/32 0:65535 0:65535 0x01/0xFF
@85.52.83.96/32 199.34.149.161/32 0:65535 0:65535 0x01/0xFF
@85.52.83.96/32 25.184.48.129/32 0:65535 0:65535 0x06/0xFF
@85.52.83.96/32 85.52.87.1/32 0:65535 0:65535 0x06/0xFF
@85.52.83.97/32 25.184.48.129/32 0:65535 0:65535 0x06/0xFF
@85.52.83.97/32 199.39.63.180/32 0:65535 0:65535 0x01/0xFF
@180.171.147.32/31 166.201.160.56/32 0:65535 0:65535 0x06/0xFF
@85.52.83.70/31 199.45.148.2/32 0:65535 0:65535 0x06/0xFF
@85.52.83.126/31 199.34.149.161/32 0:65535 0:65535 0x06/0xFF
@85.52.83.82/31 177.119.185.75/32 0:65535 1025:65535 0x06/0xFF
@85.52.83.98/31 199.39.63.180/32 0:65535 1025:65535 0x06/0xFF
@85.52.83.112/31 85.52.87.1/32 0:65535 5001:65535 0x06/0xFF
@180.171.147.58/31 25.178.135.86/32 0:65535 0:65535 0x01/0xFF
@180.171.147.82/31 25.184.48.234/32 0:65535 0:65535 0x06/0xFF
@180.171.147.66/31 25.184.48.129/32 0:65535 0:65535 0x06/0xFF
@85.52.83.70/31 199.45.140.2/32 0:65535 0:65535 0x06/0xFF
@85.52.83.126/31 199.45.140.2/32 0:65535 0:65535 0x06/0xFF
@85.52.83.98/31 85.52.87.1/32 0:65535 0:65535 0x06/0xFF
@85.52.83.115/32 90.129.153.212/31 0:65535 0:65535 0x06/0xFF
@85.52.83.115/32 199.45.140.0/31 0:65535 0:65535 0x06/0xFF
@180.171.147.244/30 85.201.164.31/32 0:65535 0:65535 0x06/0xFF
@85.52.83.92/30 146.248.192.202/32 0:65535 0:65535 0x06/0xFF
@85.52.83.84/30 25.184.48.129/32 0:65535 0:65535 0x01/0xFF
@85.52.83.84/30 85.52.87.1/32 0:65535 0:65535 0x01/0xFF
@85.52.83.116/30 199.45.140.2/32 0:65535 0:65535 0x06/0xFF
@85.52.83.120/30 199.34.149.161/32 0:65535 0:65535 0x06/0xFF
@180.171.147.243/32 85.194.75.0/24 0:65535 0:65535 0x06/0xFF
@180.171.147.254/32 85.101.182.0/24 0:65535 0:65535 0x06/0xFF
@180.171.147.195/32 25.181.192.0/24 0:65535 0:65535 0x06/0xFF
@180.171.147.84/32 25.178.134.0/24 0:65535 0:65535 0x06/0xFF
@180.171.147.89/32 25.184.49.0/24 0:65535 0:65535 0x06/0xFF
@180.171.147.65/32 25.184.49.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.69/32 199.45.141.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.125/32 199.34.148.0/24 0:65535 0:65535 0x06/0xFF
@180.171.147.187/32 82.152.94.0/24 0:65535 0:65535 0x01/0xFF
@180.171.147.227/32 86.109.169.0/24 0:65535 0:65535 0x06/0xFF
@180.171.147.202/32 25.181.192.0/24 0:65535 0:65535 0x06/0xFF
@180.171.147.217/32 163.219.52.0/24 0:65535 0:65535 0x06/0xFF
@180.171.147.34/32 25.178.124.0/24 0:65535 0:65535 0x01/0xFF
@180.171.147.52/32 199.39.62.0/24 0:65535 0:65535 0x06/0xFF
@180.171.147.52/32 25.178.134.0/24 0:65535 0:65535 0x06/0xFF
@180.171.147.63/32 25.178.134.0/24 0:65535 0:65535 0x06/0xFF
@180.171.147.89/32 199.39.62.0/24 0:65535 0:65535 0x06/0xFF
@180.171.147.65/32 25.184.49.0/24 0:65535 0:65535 0x01/0xFF
@85.52.83.88/32 151.98.64.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.81/32 188.239.195.0/24 0:65535 0:65535 0x01/0xFF
@85.52.83.81/32 188.227.38.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.80/32 188.227.34.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.80/32 188.227.106.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.77/32 180.175.7.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.77/32 180.171.108.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.68/32 199.45.149.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.69/32 85.52.86.0/24 0:65535 0:65535 0x01/0xFF
@85.52.83.69/32 90.129.152.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.115/32 199.45.141.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.125/32 199.45.141.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.125/32 199.45.141.0/24 0:65535 0:65535 0x01/0xFF
@85.52.83.96/32 199.34.148.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.96/32 199.39.62.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.96/32 25.184.49.0/24 0:65535 0:65535 0x01/0xFF
@85.52.83.96/32 199.39.62.0/24 0:65535 0:65535 0x01/0xFF
@85.52.83.97/32 25.184.49.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.97/32 199.39.62.0/24 0:65535 0:65535 0x06/0xFF
@85.52.83.97/32 85.52.86.0/24 0:65535 0:65535 0x06/0xFF
@180.171.146.0/23 81.118.126.16/32 0:65535 0:65535 0x06/0xFF
@180.171.146.0/23 25.181.193.224/32 0:65535 0:65535 0x06/0xFF
@180.171.146.0/23 25.178.135.86/32 0:65535 0:65535 0x06/0xFF
@85.52.82.0/23 180.175.110.250/32 0:65535 0:65535 0x06/0xFF
@85.52.82.0/23 85.52.87.1/32 0:65535 0:65535 0x06/0xFF
@180.171.147.210/31 25.177.189.0/24 0:65535 0:65535 0x06/0xFF
@180.171.146.0/23 86.119.39.41/32 0:65535 0:65535 0x06/0xFF
@180.171.146.0/23 25.181.193.224/32 0:65535 0:65535 0x01/0xFF
@180.171.146.0/23 180.171.109.214/32 0:65535 0:65535 0x06/0xFF
@180.171.146.0/23 25.177.188.88/32 0:65535 0:65535 0x01/0xFF
@180.171.146.0/23 25.184.48.239/32 0:65535 0:65535 0x06/0xFF
@180.171.146.0/23 25.184.48.129/32 0:65535 0:65535 0x06/0xFF
@180.171.146.0/23 25.184.48.129/32 0:65535 0:65535 0x01/0xFF
@85.52.82.0/23 151.68.220.47/32 0:65535 0:65535 0x06/0xFF
@85.52.82.0/23 25.184.48.129/32 0:65535 0:65535 0x06/0xFF
@85.52.82.0/23 188.227.107.170/32 0:65535 0:65535 0x06/0xFF
@85.52.82.0/23 188.227.107.196/32 0:65535 0:65535 0x06/0xFF
@85.52.82.0/23 177.119.185.53/32 0:65535 0:65535 0x06/0xFF
@85.52.82.0/23 199.45.148.2/32 0:65535 0:65535 0x06/0xFF
@85.52.82.0/23 25.184.48.129/32 0:65535 0:65535 0x01/0xFF
@85.52.82.0/23 199.45.140.2/32 0:65535 0:65535 0x06/0xFF
@85.52.82.0/23 199.45.140.2/32 0:65535 0:65535 0x01/0xFF
@85.52.82.0/23 73.31.26.25/32 0:65535 0:65535 0x06/0xFF
@85.52.82.0/23 199.34.149.161/32 0:65535 0:65535 0x06/0xFF
@85.52.82.0/23 199.39.63.180/32 0:65535 0:65535 0x06/0xFF
@85.52.82.0/23 199.39.63.180/32 0:65535 0:65535 0x01/0xFF
@85.52.82.0/23 199.39.63.181/32 0:65535 0:65535 0x06/0xFF
@180.171.147.241/32 85.201.208.0/22 0:65535 0:65535 0x06/0xFF
@180.171.147.65/32 25.184.52.0/22 0:65535 0:65535 0x06/0xFF
@85.52.83.69/32 199.45.136.0/22 0:65535 0:65535 0x06/0xFF
@85.52.83.115/32 199.45.136.0/22 0:65535 0:65535 0x06/0xFF
@180.171.147.82/31 25.178.134.0/24 0:65535 0:65535 0x01/0xFF
@85.52.82.0/23 199.39.63.182/31 0:65535 0:65535 0x06/0xFF
@180.171.147.129/32 90.23.132.0/22 0:65535 0:65535 0x06/0xFF
@180.171.147.161/32 86.119.32.0/22 0:65535 0:65535 0x06/0xFF
@180.171.147.209/32 25.177.184.0/22 0:65535 0:65535 0x06/0xFF
@180.171.147.44/32 25.178.128.0/22 0:65535 0:65535 0x01/0xFF
@180.171.147.44/32 25.178.128.0/22 0:65535 0:65535 0x06/0xFF
@180.171.147.89/32 25.184.52.0/22 0:65535 0:65535 0x06/0xFF
@85.52.83.88/32 154.50.164.0/22 0:65535 0:65535 0x06/0xFF
@85.52.83.81/32 188.239.196.0/22 0:65535 0:65535 0x01/0xFF
@85.52.83.80/32 188.227.108.0/22 0:65535 0:65535 0x06/0xFF
@85.52.83.77/32 182.190.20.0/22 0:65535 0:65535 0x06/0xFF
@85.52.83.125/32 199.45.136.0/22 0:65535 0:65535 0x06/0xFF
@85.52.83.125/32 199.34.144.0/22 0:65535 0:65535 0x06/0xFF
@85.52.83.96/32 199.34.144.0/22 0:65535 0:65535 0x06/0xFF
@85.52.83.97/32 199.39.56.0/22 0:65535 0:65535 0x06/0xFF
@85.52.83.97/32 25.184.52.0/22 0:65535 0:65535 0x01/0xFF
@180.171.146.0/23 86.109.168.34/31 0:65535 0:65535 0x01/0xFF
@180.171.146.0/23 25.178.135.84/31 0:65535 0:65535 0x01/0xFF
